full_date,date,weekday,time,mood,activities,note_title,note
2023-11-30,Nov 30,Thursday,11:43 PM,Solid,friends | school | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | run | no sugary treats | Dinner with friends  | alcohol | prayer | Church group | Clean Mind Day and Night | Scripture | Hallow | reading | gaming,"","4.6 mile run | waited for Dr.Brylow for over an he didn’t show | good progress on disability project | rcia was great | interacting with Sophie hurt today | bingo with Sydney Annika and others | mug night after which I didn’t like "
2023-11-29,Nov 29,Wednesday,9:06 PM,Solid,work | friends | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | no sugary treats | prayer | Clean Mind Day and Night | Scripture | Hallow | melatonin  | reading | gaming,"","Spotify wrapped was meh | decent day at work | metro market | started Reading Persecuted From Within and I love it | fun conversation with Jude | girl from Catholic Match responded  "
2023-11-28,Nov 28,Tuesday,9:50 PM,Solid,school | # | Milwuakee | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | floss | run | Dinner with friends  | prayer | Spiritual Direction | Church group | Reflection | Hallow | reading,"","Ran 4 miles when it was 12 degrees | felt great in morning | inspired to do Notre Dame online theology classes | spiritual direction with Steve | rcia with Nikki | participated a lot in CORE which was about leisure | almost done with my async class | pro life club meeting with speaker which was mid | Mary Sue gone from campus ministry | screwed up # | finished A Story of a Soul"
2023-11-27,Nov 27,Monday,9:12 PM,okay,work | Milwuakee | < 15 mins on Instagram | lotion | floss | chest / core | gym | no sugary treats | prayer | Clean Mind Day and Night | Scripture | Hallow | reading,"","Got a message back from girl on Catholic Match | Almost alone in office | struggled with motivation a little at work | anxious about getting a message back on CM | low key evening | started covenant eyes "
2023-11-26,Nov 26,Sunday,9:37 PM,okay,family | friends | Ventura | Milwuakee | < 15 mins on Instagram | no sugary treats | church | prayer | Clean Mind Day and Night | Hallow | reading | Watched Sports,"","Mass with Dad | we carried the gifts | flight to Milwaukee | can be entertained with my own thoughts | not a bad flight at all | Joe picked me up from airport "
2023-11-25,Nov 25,Saturday,8:51 PM,almost Rad,family | friends | Ventura | < 15 mins on Instagram | < 4 Hours Phone Time | lotion | Pickle Ball | mountain dew | prayer | Clean Mind Day and Night | Scripture | Hallow | reading | gaming,"","Got some homework done | talked with Sebastian about the church | want to work on not complaining | God carried me in pickleball and we got first | felt peaceful calm and focused | working on humility amidst success | feel like I’ve peaked in life right now "
2023-11-24,Nov 24,Friday,9:51 PM,Solid,family | friends | movie | Ventura | lotion | Advil | chest / core | Pickle Ball | no sugary treats | alcohol | prayer | Confession | Clean Mind Day and Night | Scripture | Hallow | reading | gaming,"","Pickleball against Billy’s team | chick-fill-a and Winco with Dad | messaged girl on Catholic match | confession | wine | got pretty tipsy with Jude while watching movie | Tessa’s cat went missing:("
2023-11-23,Nov 23,Thursday,10:19 PM,Solid,family | Ventura | < 4 Hours Phone Time | lotion | alcohol | prayer | Clean Mind Day and Night | Scripture | Hallow | ?,"","Thanksgiving | hung out with family all day | went to Aunt Tina’s house | observed Davy and Alex’s parenting of Owen | car ride back talked about houses and wills"
2023-11-22,Nov 22,Wednesday,7:18 PM,Solid,family | friends | Ventura | Milwuakee | < 15 mins on Instagram | lotion | Pickle Ball | Dinner with friends  | prayer | Clean Mind Day and Night | Conversation with God | Hallow | reading,"","Woke up at 3:15 for flight | watched videos on traditional Catholicism and it was eye opening | end of video was saying most people go to hell and that is scary | loving reading St Therese | spent time with family | pickleball with Dad and two other women | let Dad take the primary spot to practice my humility * | In-n-out with Cameron "
2023-11-21,Nov 21,Tuesday,7:29 PM,okay,work | Milwuakee | lotion | floss | no sugary treats | prayer | Clean Mind Day and Night | Scripture | Hallow | melatonin  | reading,"","Meh time working remote | did some school work | paid retreat dues in campus min and talked a little to Gabe Gregory and Pablo * | really like St.Therese | won a Fortnite game | melatonin at 7"
